Authority Terms,Mention only?,Researcher/Date,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,AssociatedPlaces,Birth Place,Death Place,Place of Residence,Source for Places,Birth Date,Death Date,Marriage Date,Source for Dates,Spouse,Occupation,Occupation Source,Gender,Languages,Religions,Religions Source,Organizations,Organizations Source,Associated Letters,PRINT ID,LOD - WikiData,LOD - VIAF,LOD - LOC,Notes,HSP,LSF,SAA,SBB,AFSt,Barclay,Spence,Abraham,Incomplete?,
"Biles, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000210,,,,,1.0,,,,,,,,,
"Billingsley, Francis",True,,Ballinglay,,Frances,,,,,,,,,,,,,,,,English,,,,,,P000188,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Birch, Henry",False,LKM 5/12/25,Burch; Byrch,,,,,,,,"Bridgetown, Barbados {{https://archive.org/details/quakercommunityo00grag_0/mode/2up}} [[The Quaker Community on Barbados-Gragg p.77]]",,,,,,,Physician {{https://archive.org/details/quakercommunityo00grag_0/mode/2up}} [[The Quaker Community on Barbados-Gragg p.77]],,Male,English,,,,,,P000213,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Birchall, Jeffery",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000214,,,,,1.0,,,,,,,,,
"Birkett, Jane",False,BNC 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Bispham, John",False,BNC 05/09/2025,,,,,,,,,,,,,,,[Mary Bastwell] {{https://search.findmypast.com/record?id=TNA%2FRG6%2F1616%2F0%2F0186&parentid=TNA%2FRG6%2FMAR%2F3434%2F1}},,,Male,English,Quaker,,,,16164,P000816,n.a.,n.a,n.a,son in law of Daniel Abraham,1.0,1.0,,,,1.0,1.0,,,
"Bland, Nathaniel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000217,,,,,1.0,,,,,,,,,
"Bleeker, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000219,,,,,1.0,,,,,,,,,
"Blinkborne, John",False,,Blinkborn,,,,,,,,,,,,,,,,,Male,English,,,,,,P000220,,,,,1.0,,,,,,,,,
"Block, Anthony",False,,Blok; Bloke; Blokke; Bloc,,Antonie; Antoine,,,,,,,,,,,,,,,Male,,,,Congregation of the Toren,,,P000863,,,,,,,1.0,,,,,,,
"Blok, Theunis",False,,Block; Bloke; Blokke; Bloc,,Anthonius; Theuns; Teunis; Antonie; Antoine; Anthony,,,,,,,,,,,,,,,Male,,,,,,,P000864,,,,,,,1.0,,,,,,,
"Blum, Hans",False,,Bloom; Blumhoff; Blume; Bluhm; Blom; Blüm,,Hannes; Hanß; Hansz,,,,,,,,,,,,,,,Male,German,Mennonite,,,,,P000865,,,,,,,1.0,,,,,,,
,False,,,,,,,,,,,,,,,,,,,,,,,,,,P000021,,,,,,,,,,,,,,
"Boehme, Anna Elisabeth",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Boersma, Fredrik",False,,Baersma; Boerema; Boorsma; Boersema,,Frerik; Frederick; Frederiks,,,,,,,,,,,,,,,Male,,,,Vilssingen Congregation,,,P000849,,,,,,,1.0,,,,,,,
"Böhm, Samuel",False,,Boehm; Bohm,,Samuël; Samwell,,,,,,"Pennsylvania, United States",,,,,,,,,Male,,Mennonite,,,,,P000866,,,,,,,1.0,,,,,,,
"Bolton, The Constable Of",False,,,,,,Constable,,,,,,,,,,,,,Male,English,,,,,,P000039,,,,,1.0,,,,,,,,,
"Bond, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15943,P000221,,,,,1.0,,,,,,,,,
"Bond, Robert",False,,,,,,,,,,,,,before 1686-08-25,,death - 15908,,,,Male,English,,,,,15963,P000222,,,,,1.0,,,,,,,,,
"Bond, Samuel",False,,Bound,,,,,,,,,,,,,,,,,Male,English,,,,,16186,P000794,,,,16186  - mentions his wife but I do not know here first name yet,1.0,,,,,,,,,
"Bond, Thomas, Jr.",False,,,,,,,"Lancaster, Lancashire, England",,,,,,,,,,,,Male,English,,,,,15963,P000224,,,,,1.0,,,,,,,,,
"Bond, Thomas, Sr.",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15963,P000223,,,,,,,,,,,,,,
"Boothe, [E...]",False,,Booth,,Edward; Elizabeth; Edwin,,,,,,,,,,,,,,,,English,,,,,,P000227,,,,Potential hit https://www.geni.com/people/Elizabeth-Booth/6000000000491109575,1.0,,,,,,,,,
"Borden, Robert",False,"CLW, 12/9/24",Bordan,,,,,,,,,,,,,,,,,Male,English,,,,,15946,P001137,,,,,1.0,,,,,,,,,
"Bordman, Thomas",False,,Boardman,,,,,,,,,,,,,,,,,Male,English,,,,,15910,P000229,,,,,1.0,,,,,,,,,
"Borner, Jacob",False,,Börner; Boerner,,Jakob; Jakop; Jacop,,,,,,"Pennsylvania, United States",,,,,,,,,Male,,Mennonite,,,,,P000868,,,,,,,1.0,,,,,,,
"Bouden, Mordecai",False,,Bowden,,,,,,,,,,,,,,,,,Male,English,,,,,,P000022,,,,,1.0,,,,,,,,,
"Bould, James",False,,Bold,,,,,,,,,,,,,,,,,Male,English,,,,,,P000230,,,,,1.0,,,,,,,,,
"Boult, Hannah",False,,Bolt,,Ana,,,"Knowsley, Lancashire, England",,,,,,,1683,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,,,Female,English,,,,,16157,P000827,,,,,1.0,,,,,,,,,
"Bowater, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000232,,,,,1.0,,,,,,,,,
"Bowden, Rebecca",False,,[Bouden?],,,,Widow,,,,,,,,,,,,,Female,English,,,,,16072,P002000,,,,,1.0,,,,,,,,,
"Braam, Jacob Romkes",False,BREN,Abraham,,Jakob; Jakop; Jacop,,,,,,"Harlingen, Netherlands",,"1656|circa
[[AF]]{{https://allefriezen.nl/zoeken/deeds/3c5c3cde-ba41-4e8f-a25d-e1174a1861ee}}","1727-05-21
[[AF]]{{https://allefriezen.nl/zoeken/deeds/3c5c3cde-ba41-4e8f-a25d-e1174a1861ee}}","1684|circa; 1697|circa
[[AF]]{{https://allefriezen.nl/zoeken/deeds/3c5c3cde-ba41-4e8f-a25d-e1174a1861ee}}",AlleFriezen,,Deacon; Merchant,AlleFriezen,Male,Dutch,Mennonite,,,,,P000869,,,,"Interesting dates in occupation source, which details when he became a deacon, retired, and seems to have become a deacon again.",,,1.0,,,,,,,
"Bradbury, Elizabeth",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,16153,P000717,,,,,1.0,,,,,,,,,
"Bradley, Margaret",False,,,,Margret,,,,,,,,,,,,,,,Female,English,,,,,16088; [15860?],P000025,,,,,1.0,,,,,,,,,
"Bradley, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000233,,,,,1.0,,,,,,,,,
"Bradshaw, Alexander",False,,Bradshew,,,,,,,,,,,,,,,,,Male,English,,,,,,P000234,,,,,1.0,,,,,,,,,
"Bradshaw, Jonathan",False,,Bradshew,,,,,,,,,,,,,,,,,Male,English,,,,,,P000236,,,,,1.0,,,,,,,,,
"Bradshaw, Roger",False,,Bradshew,,,,,,,,,,,,,,,,,Male,English,,,,,,P000237,,,,,1.0,,,,,,,,,
"Braithwaite, George",False,BNC 11/19/2024,Braythwaite,,,,,,,,,,,,,,,professor?,Spence collection letter 151-152,Male,English,,,,,,,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Brassey, Thomas",False,,Bracey; Brazy,,,,,"Chester County, Pennsylvania",,"Chester County, Pennsylvania",,,1647,ca. 1690,,https://www.wikitree.com/wiki/Brassey-9,,,,Male,English,,,,,,P000239,,,,,1.0,,,,,,,,,
"Brearley, Ann",False,,Breareley,,Anne,,,,,,,,,,,,,,,Female,English,,,,,,P000240,,,,,1.0,,,,,,,,,
"Brearley, Richard",False,,Breareley,,,,,,,,,,,,,,,,,Male,English,,,,,,P000241,,,,,1.0,,,,,,,,,
"Brearley, Samuel",False,,Breareley,,,,,,,,,,,,,,,,,Male,English,,,,,,P000242,,,,,1.0,,,,,,,,,
"Breet, Brent",False,BREN | 11/17/24; 11/20/24,Brett; Breger; Breder; Brier; Brear,,,,,,,,,,,,,,,,,Male,Dutch,Mennonite,,Koog-Zaandijk Congregation,,,P000871,,,,"Many sources, but nothing that pertains to these fields. ",,,1.0,,,,,,,
"Breithaupt, Joachim Just",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Brennan, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000243,,,,,1.0,,,,,,,,,
"Bretton, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000244,,,,,1.0,,,,,,,,,
"Bridge, John",False,,,,,,,"Edgeworth, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000245,,,,,1.0,,,,,,,,,
"Brinley, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000246,,,,,1.0,,,,,,,,,
"Brittain, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000247,,,,,1.0,,,,,,,,,
"Broadly, Peter",False,,Broadley,,,,,,,,,,,,,,,,,Male,English,,,,,,P000248,,,,,1.0,,,,,,,,,
"Brock, Ralph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16033,P000027,,,,Birth record?,1.0,,,,,,,,,
"Brock, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16032,P000719,,,,,1.0,,,,,,,,,
"Brooke, John",False,,Brook; Brock,,,,,,,,,,,,,,,,,Male,English,,,,,16075,P000250,,,,,1.0,,,,,,,,,
"Brooke, Richard",False,,Brook,,,,,,,,,,,,,,,,,Male,English,,,,,,P000251,,,,,1.0,,,,,,,,,
"Brown, George",False,,Browne,,,,,,,,,,,,,,,,,Male,English,,,,,,P000029,,,,,1.0,,,,,,,,,
"Browne, Dulcibella",False,,Brown,,Dulciebella,,,,,,,,,,,,,,,Female,English,,,,,,P000028,,,,,1.0,,,,,,,,,
"Browne, Katie",False,,Brown,,,,,,,,,,,,,,,,,Female,English,,,,,,P000253,,,,,1.0,,,,,,,,,
"Brownfield, Thomas",False,,,,,,,"Poulton, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000254,,,,,1.0,,,,,,,,,
"Buckley, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000255,,,,,1.0,,,,,,,,,
"Buckley, Samuel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000256,,,,,1.0,,,,,,,,,
"Buckman, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000257,,,,,1.0,,,,,,,,,
"Budd, Susan",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000258,,,,,1.0,,,,,,,,,
"Budd, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000259,,,,,1.0,,,,,,,,,
"Bundon, Joseph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000261,,,,,1.0,,,,,,,,,
"Buntings, Job",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16071,P000030,,,,,1.0,,,,,,,,,
"Burche, George",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000262,,,,,1.0,,,,,,,,,
"Burckholder, Hans",False,JDS ,Borckholter; Borghalter; Burkhold; Burkhalter; Burkholder,,Hannes; Hanß,,,"Gerolsheim, Germany [[Lowry III, p.444]]",,"Gerolsheim, Germany [[Lowry III, p.783]]","Gerolsheim, Germany [[Lowry III, p.444]]",,"1674 (Lowry III, p.574) ","1752 {{https://gameo.org/index.php?title=Burkholder_(Borcholder,_Borcholter,_Borckholder,_Borgholder,_Borkholder,_Burckhalter,_Burckholder,_Burgholder,_Burgholdter,_Burkhalter,_Burkalter)_family}}",,,,"Minister of the Mennonite congregations [[Lowry III, p.448]]",,Male,German,"Mennonite [[Lowry III, p.448]]",,,,,P000872,,,,,,,1.0,,,,,,,
"Burcki, Hans",False,,Buk; Burky; Birky; Bergey; Burgy; Bürky,,Hannes; Hanß,,,,,,"Bern, Switzerland",,,,,,,Preacher,,Male,German,Mennonite,,Bern Congregation,,,P000873,,,,,,,1.0,,,,,,,
"Burg, Peter",False,,Berg; Burc; Bürg; Berk,,Pieter; Peder,,,,,,,,,,,,,,,Male,German,,,,,,P000874,,,,,,,1.0,,,,,,,
"Burgess, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000263,,,,,1.0,,,,,,,,,
"Burgess, Samuel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000264,,,,,1.0,,,,,,,,,
"Burkersroda, Baronin <Lpre>Von</Lpre>",False,AMF 4/16/2025,,,,,Baroness,,,,,,,,,,,,,,,,,,,,,,,,"AMF - I believe this may be Augusta Erdmuthe von Burkersroda, but am uncertain. ",,,,,1.0,,,,,
"Burnett, John",False,,Burneitt,,,,,West Ireland,,,,,,,,,,,,Male,English,,,,,16158,P000265,,,,,1.0,,,,,,,,,
"Burrow, Robert",False,,burroughs; Burrough,,,,,,,,,,,,,,,,,Male,English,,,,,,P000267,,,,,1.0,,,,,,,,,
"Burton, Anthony",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000268,,,,,1.0,,,,,,,,,
"Caasel, Hendrik",False,,Castle; Cassel; Kassel,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,Male,,,,,,,P000875,,,,"Documents featuring this person have not been inventoried yet, therefore information cannot be clarified. ",,,1.0,,,,,,,
"Camelford, Gabriel",False,bnc 11/19/2024,,,,,,,,,,,,,,,,preacher,,Male,English,,,,,,,n.a.,n.a.,n.a.,"was ejected from a church, started the Tottlebank church https://www.therestorationmovement.com/_international/england/tottlebank.htm (BNC 11/24)",,1.0,,,,,1.0,,,
"Campen, Jacob Van",False,,Campion; Campain; Kampen; Campagne,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,Male,,Mennonite,,Hamburg Congregation,,,P000876,,,,,,,1.0,,,,,,,
"Canbey, Benjamin",False,,Canby,,,,,"Liverpool, Lancashire, England",,,,15990 - addressed to Canbey in Liverpool,,,,,,,,Male,English,,,,,15990; 15858,P000031,,,,,1.0,,,,,,,,,
"Canstein, Frh. Von",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Cave, James",False,BNC 11/19/2024,,,,,Priest,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Ceane, Henry",False,,Ceanes,,,,,,,,,,,,,,,,,Male,English,,,,,,P000033,,,,,1.0,,,,,,,,,
"Chaddock, Daniel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000272,,,,,1.0,,,,,,,,,
"Chalk, Richard",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000273,,,,,1.0,,,,,,,,,
"Chambers, Benjamin",False,,,,,,,,,,,,,1715-09-27,1686-05-03,Burial Records; Marriage Record,,,,Male,English,,,,,15956,P000792,,,,"Married Hannah Smith; arrived in PA on [May 18, 1682]",1.0,,,,,,,,,
"Chapman, Thomas",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000274,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Chorley, Joseph",False,,Charlye; Churley; Chorly,,,,,,,,,,,,,,,,,Male,English,,,,,,P000276,,,,,1.0,,,,,,,,,
"Chorley, Mary",False,,Charlye; Churley; Chorly,,,,,,,,,,,,,,,,,Female,English,,,,,,P000277,,,,,1.0,,,,,,,,,
"Claesen, Claes",False,BREN | 11/17/24; 11/20/24,Klaessen; Klassen; Klasen,,Claus; Niclaus; Klas; Clas; Klaes,,,,,,"[Harlingen, Netherlands]",,,,,,,,,Male,Dutch,Mennonite,,[Harlingen Congregation],,,P000878,,,,"Difficult to decipher which of the many sources belongs to this Claes, as it was a pretty common name. Numerous just for Harlingen. ",,,1.0,,,,,,,
"Clark, Eleanor",False,,Clarke,,Elenor; Elinor,,,,,,,,,,,,,,,Female,English,,,,,15873,P000278,,,,,1.0,,,,,,,,,
"Clark, Hannah",False,,Clarke,,,,,,,,,,,,,,,,,Female,English,,,,,15873,P000279,,,,,1.0,,,,,,,,,
"Clark, John",False,AIN 4/8/2025,Clarke,,Jon,,,"Bolton, England [[“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical]]; [[Early Stages of the Quaker Movement in Lancashire]]",,,"Bolton England [[“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical]]; [[Early Stages of the Quaker Movement in Lancashire]]",,,,,,,"Apprentice [[“Friends’ Miscellany: Being a Collection of Essays and Fragments, Biographical, Religious, Epistolary, Narrative, and Historical]]",,Male,English,Quaker,,,,15946; 15873,P000035,,,,apprentice to Phineas Pemberton at his Bolton store {{https://www.google.com/books/edition/Friends_Miscellany/U8kYAAAAYAAJ?hl=en&gbpv=1&dq=longworth&pg=PA15&printsec=frontcover}},1.0,,,,,,,,,
"Clark, Lydia",False,,Clarke,,Lidea,,,,,,,,,,,,,,,Female,English,,,,,,P000280,,,,,1.0,,,,,,,,,
"Clark, Matthew",False,,Clarke,,,,,,,,,,,,,,,,,Male,English,,,,,,P000281,,,,,1.0,,,,,,,,,
"Clark, Thomas",False,,Clarke,,,,,,,,,,,,,,,,,Male,English,,,,,16176,P000809,,,,In legal suit with Daniel Gardiner (P000808),1.0,,,,,,,,,
"Clark, William",False,,Clarke,,,,,,,,,,,,,,,,,Male,English,,,,,,P000283,,,,,1.0,,,,,,,,,
"Claus, Jacob",False,,Cloos,,,,,,,,,,,,,,,printer; merchant,,Male,English,,,,,15913; 15935,P000284,,,,,1.0,,,,,,,,,
"Claus, Neekie",False,CLW 12/16/24,Cloos; Dauwes; Dawes,,,,,,,,,,,,,,,,,Female,English,,,,,15935,P000286,,,,Dawes is name of first husband; she is mentioned as a widow of Sybrandt Dawes,1.0,,,,,,,,,
"Clayton, John",False,BNC 11/21/2024,Cleaton?,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Clayton, William",False,LKM 4/25/25,,,,,,Norwich Gaol {{https://archive.org/details/collectionofsuff01bess/page/n3/mode/2up}} [[A Collection of Sufferings Vol. 1-Besse p. 515]]; Horsham Gaol {{https://archive.org/details/collectionofsuff01bess/page/n3/mode/2up}} [[A Collection of Sufferings Vol. 1-Besse p. 714]],,,,,,,,,,,,Male,English,,,,,,P000288,,,,,,1.0,,,,1.0,,,,
"Cleaton, Anne",False,BNC 11/19/2024,Clayton; Easton,,,,,,,,,,1628|circa,1707/8,,"Clayton, Anne",,travelling minister,,Female,English,Quaker,,,,,,n.a.,n.a.,n.a.,more info about anne clayton/cleaton https://easternkentuckygenealogy.blogspot.com/2019/12/anne-claytons-beliefs-and-free-speech.html (BNC 02/27/25) ,,1.0,,,,,1.0,,,
"Cleaton, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000289,,,,,1.0,,,,,,,,,
"Clemeints, Johan",False,,Clements; Clemence; Clemens,,John; Jan; Johannes,,,,,,"Griesheim, Germany",,,,,,,,,Male,,,,,,,P000879,,,,,,,1.0,,,,,,,
"Clowes, Joseph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000036,,,,,1.0,,,,,,,,,
"Clowes, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000037,,,,,1.0,,,,,,,,,
"Colbourne, Henry",False,,Colb; Colborne; Coburn; Colbourn,,,,,,,,,,,,,,,,,Male,English,,,,,,P000292,,,,,1.0,,,,,,,,,
"Colbourne, James",False,,Colb; Colborne; Coburn; Colbourn,,,,,,,,,,,,,,,,,Male,English,,,,,,P000293,,,,,1.0,,,,,,,,,
"Colbourne, Peter",False,,Colb; Colborne; Coburn; Colbourn,,,,,,,,,,,,,,,,,Male,English,,,,,,P000294,,,,,1.0,,,,,,,,,
"Coleman, Stephen",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000038,,,,,1.0,,,,,,,,,
"Colleth, Thomas",False,,,,,,,"the Frying Pan, Thames Street, London, England",,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,,,,,,,Male,English,,,,,16126,P000296,,,,,1.0,,,,,,,,,
"Collins, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000295,,,,,1.0,,,,,,,,,
"Comberford, Mary",False,LKM 4/25/25,Cumberford,,,,,,,,"Stafford, Staffordshire, England [[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]",,,"1700-03-23 [[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]",,,,,,Female,English,,,,,,P000297,N/A,N/A,N/A,an account of a vision she had appears here {{https://www.woodbrooke.org.uk/wp-content/uploads/2017/02/Volume_1.pdf}} [LKM],,1.0,,,,1.0,,,,
"Conway, Phillip",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000298,,,,,1.0,,,,,,,,,
"Cook, Abigail",False,,Cooke,,,,,,,,,,,,,,,,,Female,English,,,,,,P000299,,,,,1.0,,,,,,,,,
"Cook, Arthur",False,,Cooke,,,,,,,,,,,,,,,,,Male,English,,,,,15918,P000300,,,,,1.0,,,,,,,,,
"Cook, Francis",False,,Cooke,,,,,"Joiners Arms near College Green, Dame Street, Dublin, Ireland",,,,15936,,,,,,,,Male,English,,,,,15936,P000301,,,,,1.0,,,,,,,,,
"Cook, Joane",False,,Cooke,,Joan,,,,,,,,,,,,,,,Male,English,,,,,15906; 15905,P000040,,,,,1.0,,,,,,,,,
"Cook, Margaret",False,,Cooke,,Margret,,,,,,,,,,,,,,,Male,English,,,,,,P000041,,,,,1.0,,,,,,,,,
"Cook, Thomas",False,,Cooke,,,,,"Cork, Ireland",,,,,,,,,,Merchant,15893,Male,English,,,,,,P000042,,,,,1.0,,,,,,,,,
"Cookery, Henry",False,,Cookry,,,,,,,,,,,,,,,,,Male,English,,,,,,P000043,,,,,1.0,,,,,,,,,
"Cookery, John",False,,Cookry,,,,,,,,,,,,,,,,,Male,English,,,,,,P000302,,,,,1.0,,,,,,,,,
"Cooper, George",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000303,,,,,1.0,,,,,,,,,
"Cooper, Hugh",False,,,,,,,"Chorley, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000304,,,,,1.0,,,,,,,,,
"Cooper, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000305,,,,,1.0,,,,,,,,,
"Coppock, Bartholomew",False,,Coppack,,,,,,,,,,,,,,,,,Male,English,,,,,,P000306,,,,,1.0,,,,,,,,,
"Coppock, Joseph",False,,Coppack,,,,,,,,,,,,,,,,,Male,English,,,,,,P000307,,,,,1.0,,,,,,,,,
"Corbett, Thomas",False,BNC 04/07/2025,,,,,,,,,,,,,,,,Lawyer {{https://discovery.ucl.ac.uk/id/eprint/1317797/1/286118.pdf}},,Male,English,,,,,,,n.a.,n.a.,n.a.,{{https://thecorbetts.co.uk/thomas-corbett-1653-1687/}} is this him? (BNC 04/29/2025),,,,,,,,1.0,,
"Cowperthwaite, Elizabeth",False,,Copperwaite; Coperwait; Cowperthwait; Copperthwaite,,,,,,,,,,,,,,,,,Female,English,,,,,16039,P001100,,,,,1.0,,,,,,,,,
"Cox, Abraham",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000308,,,,,1.0,,,,,,,,,
"Cremer, Steven Abrahamsz",False,BREN,Cramer; Kramer; Kremer; Kroner,,Stephen; Stefaan; Stefanus,,,,,,"Deventer, Netherlands",GAMEO,1660,,,GAMEO,,Brewer,GAMEO,Male,Dutch,Mennonite,,Committee for Foreign Need; Old Flemish Mennonite Congregation,,,P000881,,,,,,,1.0,,,,,,,
"Cripps, John",False,,Crips,,,,,,,,,,,,,,,,,Male,English,,,,,,P000309,,,,,1.0,,,,,,,,,
"Crisp, Gertrude",False,,,,Geert,Davis,,,,,,,,,1685-10-01,Marriage Record,,,,Female,English,,,,,15962,P001121,,,,Married to Stephen Crisp,1.0,,,,,,,,,
"Croasdale, John",False,,Croasdol,,,,,,,,,,,,,,,,,Male,English,,,,,,P000311,,,,,1.0,,,,,,,,,
"Crompton, Susannah",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000312,,,,,1.0,,,,,,,,,
"Crompton, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000313,,,,,1.0,,,,,,,,,
"Crompton, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000314,,,,"Might be a misidentification of ""Crewdson"" in DAMS #16016. Record originally tagged with ""Crompton, William""",1.0,,,,,,,,,
"Crosby, Elizabeth",False,,,,,,,,,,,,,1683,,DoD: DAMS #16164,,,,Female,English,,,,,16164,P000315,,,,,1.0,,,,,,,,,
"Crosby, Hugh",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15873,P000046,,,,,1.0,,,,,,,,,
"Crosby, Thomas",False,AIN 4/22/2025,Crosbye,,,,,,,,,,,,,,,"Merchant [[Lancashire Quakers and the Oath, 1660-1722]]",,Male,English,,,,,,P000316,,,,,1.0,,,,,,,,,
"Cross, Mary",False,,Crose,,,,,,,,,,,,,,,,,Female,English,,,,,16160,P000823,,,,,1.0,,,,,,,,,
"Cross, Richard",False,,Crose,,,,,"Radcliffe, Lancashire, England",,,,,,,,,,,,Male,English,,,,,16160,P000692,,,,,1.0,,,,,,,,,
"Cross, Sarah",False,,Crose,,Sara,,,,,,,,,,,,,,,,,,,,,,P000832,,,,,,,,,,,,,,
"Cubban, Richard",False,,"Cobban; 
Cubham;
Cubbin;
Cobham",,,,,,,,"Bickerstaffe, Lancashire, English","James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,,,,,farmer {{http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf}},,Male,English,,,,,16164,P000317,,,,,1.0,1.0,,,,,1.0,,,
"Curtis, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000319,,,,,1.0,,,,,,,,,
"D’Orville, Jacob Philippe",False,BREN | 11/17/24,Darvill; Douville,,Jakob; Jakop; Jacop,,,,,,"Frankfurt, Germany",,,,,,,Merchant,,Male,,,,,,,P000882,,,,,,,1.0,,,,,,,
"Dallem, Johannes",False,,Dalem; Dahlem; Dalham; Dallim,,John; Jan; Johan; Johannsz,,,,,,,,,,,,,,,Male,German,Mennonite,,,,,,,,,,,,1.0,,,,,,,
"Dark, William",False,,,,,,,"Bucks County, Pennsylvania",,,,https://archive.org/stream/historyofbucksco00davi_0/historyofbucksco00davi_0_djvu.txt,,,,,,,,Male,English,,,,,,P000321,,,,,1.0,,,,,,,,,
"David, Jonathan",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000322,,,,,1.0,,,,,,,,,
"Davis, Daniel",False,BNC 11/19/2024,,,,,,,,,,,,,,,,,,Male,English,Protestant,https://www.google.com/books/edition/Margaret_Fell_Letters_and_the_Making_of/LM_LDAAAQBAJ?hl=en&gbpv=1&dq=daniel+davis+quaker&pg=PA99&printsec=frontcover,,,,P000323,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Dawes, Sybrand",False,CLW 12/16/24,Dauwes,,Sybrandt,,,,,,,,,,,,,,,Male,Dutch,,,,,15935,P001142,,,,1st husband of Neekie Dawes (Claus),1.0,,,,,,,,,
"Dawson, Edward",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
